"Samples","Number.of.outlier","Outlier.genes"
"TCGA.04.1347.01A.01R.0434.01",27,"SLC12A8, PPFIBP1, MICAL3, IFI44L, ST3GAL6, MAP9, CR2, RYR1, C1orf54, TCF7, EPN2, COL8A2, CYP27A1, CHI3L1, HIST1H2BG, GSTT1, BCL7A, HIST1H2AE, PBXIP1, KIRREL, MAP4K1, DACH1, FZD3, PTPRG, TRIB2, SLC12A1, FZD2"
"TCGA.04.1348.01A.01R.0453.01",30,"CXCL13, C3AR1, FZD3, SMPDL3B, IRF8, LTB, FZD2, DUSP2, BCL2A1, BIRC3, C1orf54, PLA2G7, GSTT1, TNFAIP6, EBI3, CCR7, STXBP6, MS4A6A, MYB, NCF2, FCGR2B, CCL19, APOBEC3G, CCL20, MAGEA11, RGS1, IGKC, CXCL9, CXCL10, CHI3L1"
"TCGA.04.1349.01A.01R.0453.01",15,"NCF2, CCL19, SLC12A8, ZFP36L2, MS4A6A, FZD2, LAMP3, MMP9, HRH1, RGS1, CXCL10, IFI44L, APOBEC3G, HLA-DQA1, CHI3L1"
"TCGA.04.1350.01A.01R.0453.01",39,"KIRREL, SMPDL3B, GAL3ST4, RRP9, PBXIP1, ST3GAL6, ZNF442, REPS2, C1orf54, FZD2, ACP5, STXBP6, CYP27A1, PLEKHF1, HIST1H2AE, MAP9, TCF7, DUSP2, BCL7A, CA8, RPL10L, PLA2G7, APOBEC3G, SKAP1, ADAMTS3, SLC12A8, ATHL1, TRIB2, EGR2, GSTT1, SPOCK2, CHI3L1, AQP9, CCND2, GPC4, SPAG4, DACH1, FZD3, PNOC"
"TCGA.04.1351.01A.01R.0453.01",39,"EPN2, GPC4, APOBEC3G, ZNF135, TRAF4, CLIC2, SLC12A8, RPL10L, BCL11B, FZD2, HLA-DQA1, PBXIP1, BCL7A, ATHL1, SPAG4, PASK, SPOCK2, C1orf54, CD19, MAP4K1, TCF7, LEF1, KIRREL, PPFIBP1, HIST1H2AE, MAP9, GSTT1, CXCL9, DACH1, CA8, FZD3, MAGEA11, HOXA1, HIST1H2BG, CHI3L1, CCND2, GPR19, IGKC, PNOC"
"TCGA.04.1356.01A.01R.0453.01",26,"PLEKHF1, REPS2, FZD2, MMP9, PBXIP1, LTB, HPSE, TCF7, SLC2A6, CA8, PLA2G7, HIST1H2AE, GSTT1, MYB, PPFIBP1, GPR19, NCF2, HIST1H2BG, SLC12A8, IL4R, PNOC, CXCL10, FZD3, CCL20, STXBP6, CHI3L1"
"TCGA.04.1357.01A.01R.0453.01",41,"CCL18, REN, LY86, SLC12A8, CCR5, IGHD, TNFAIP6, EBI3, CCR7, APOL6, APOL3, GSTT1, SAMSN1, STXBP6, MYB, RNASE6, C1orf54, RGS1, ACP5, CD3D, C3AR1, AIM2, CD69, PNOC, NCF2, CCL19, ADAMDEC1, CD2, FCGR2B, CCL5, IFI44L, MS4A6A, CXCL11, IGHM, CXCL13, APOBEC3G, CHI3L1, CXCL10, CXCL9, HLA-DQA1, IGKC"
"TCGA.04.1360.01A.01R.0453.01",39,"SPAG4, SPOCK2, RPL10L, HHEX, RRP9, WNT7A, GPR1, KIRREL, BIRC3, MAP9, PDK1, ST3GAL6, REPS2, NCF2, IFI44L, TCF7, C1orf54, APOBEC3G, BCL7A, HIST1H2BG, CXCL9, CD40, ATHL1, PPFIBP1, HIST1H2AE, SLC15A3, RGS1, HLA-DQA1, SLC12A8, IGKC, FZD3, BST1, LTB, UGT2B17, CXCL10, STXBP6, CHI3L1, PTPRG, PNOC"
"TCGA.04.1361.01A.01R.0453.01",42,"REPS2, CCL5, COL8A2, EPN2, LY86, SKAP1, APOL6, GPR1, C3AR1, APOL3, PBXIP1, ACP5, PPFIBP1, TREM2, GAL3ST4, MS4A6A, CCL18, BIRC3, DUSP2, HPSE, ZFP36L2, NCF2, TCF7, PLEKHF1, HRH1, C1orf54, BST1, ATHL1, TRIB2, SLC12A8, GSTT1, GPC4, RSAD2, MMP9, ST3GAL6, APOBEC3G, LAMP3, IFI44L, CXCL10, RGS1, HLA-DQA1, CHI3L1"
"TCGA.04.1362.01A.01R.0453.01",55,"CYP27A1, SLC2A6, C5AR1, BMP2K, EGR2, ATHL1, TLR2, GAL3ST4, C11orf80, ST3GAL6, SLC12A8, LY86, ACP5, PTPRG, P2RY2, CXCL11, AIF1, HRH1, SMPDL3B, ZNF165, DUSP2, TREM2, GPC4, VILL, TRIB2, RPL10L, PNOC, RNASE6, FCGR2B, C3AR1, TCF7, BIRC3, PPFIBP1, SLC15A3, APOL6, STXBP6, RSAD2, C1orf54, PLEKHF1, APOBEC3A, IFI44L, HLA-DQA1, MAP9, MS4A6A, RYR1, SPOCK2, GSTT1, PTGER2, FOSB, APOBEC3G, FZD3, LAMP3, RGS1, CXCL10, CHI3L1"
"TCGA.04.1364.01A.01R.0453.01",69,"HRH1, BMP2K, GAL3ST4, GPR19, MANEA, GPR1, RASSF4, SLC2A6, C1orf54, SKAP1, ZNF324, FES, NCF2, EGR2, BRAF, RCAN3, P2RY2, SIT1, ICA1, KIRREL, HIST1H2AE, CYP27A1, EPN2, PTPRG, SPOCK2, PASK, FOSB, CDC25A, MICAL3, LAMP3, VILL, GPC4, IFI44L, TRAF4, TRIB2, RRP9, PBXIP1, RPL10L, MYB, ST6GALNAC4, CA8, BCL7A, CD40, SMPDL3B, SLC15A3, APOBEC3G, MMP9, TCL1A, ATHL1, ACP5, TCF7, ZFP36L2, PIK3IP1, CD19, CR2, PLEKHF1, PNOC, MAP9, MAP4K1, SLC12A8, TRPM4, DUSP2, FZD2, ZNF165, REPS2, CHI3L1, FZD3, SPAG4, MAGEA11"
"TCGA.04.1365.01A.01R.0453.01",30,"LIME1, CCR5, FCGR2B, IRF8, BANK1, GSTT1, GPR19, SPAG4, MAP9, MS4A6A, TNFAIP6, FZD3, CCR7, CCL20, EBI3, HPSE, RSAD2, MMP9, CXCL13, CXCL11, QPCT, ACP5, RGS1, CCL19, APOBEC3G, LAMP3, CHI3L1, STXBP6, IFI44L, CXCL10"
"TCGA.04.1367.01A.01R.0453.01",23,"ADAM28, SKAP1, IL4R, PLEKHF1, REPS2, HTR2B, SPOCK2, ST3GAL6, TRIB2, CCL20, TCF7, MMP9, SLC2A6, LTB, SLC12A8, FOSB, STXBP6, PNOC, IFI44L, SPAG4, RGS1, ATHL1, CHI3L1"
"TCGA.04.1371.01A.01R.0453.01",34,"CDC25A, P2RX5, SPOCK2, RRP9, CD22, KIRREL, LEF1, SPAG4, FZD3, PPFIBP1, GPC4, DUSP2, TRIB2, PASK, REPS2, DACH1, CHI3L1, TCF7, CD19, PNOC, MYB, C1orf54, STXBP6, GPR19, ACP5, SLC12A8, MAP4K1, APOBEC3G, RYR1, MAGEA11, FZD2, DSC1, HOXA1, CCND2"
"TCGA.04.1514.01A.01R.0502.01",29,"PASK, KIRREL, MAP4K1, WNT7A, PBXIP1, TXK, BCL7A, IFI44L, FOSB, RPL10L, PTPRG, TCF7, APOBEC3G, SKAP1, EGR2, TRIB2, CYP27A1, MAP9, ZNF165, FZD3, DUSP2, STXBP6, HIST1H2AE, FZD2, PNOC, GPC4, SPAG4, LAMP3, DACH1"
"TCGA.04.1517.01A.01R.0538.01",25,"SMPDL3B, SPAG4, REPS2, LAMP3, KIRREL, ZNF324, RYR1, RGS1, IFI44L, PPFIBP1, TRIB2, APOBEC3G, MICAL3, PLEKHF1, HIST1H2BG, GPC4, HIST1H2AE, SPOCK2, PNOC, TSHR, STXBP6, GSTT1, PTGER2, FZD3, CHI3L1"
"TCGA.04.1519.01A.01R.0538.01",35,"COL8A2, RPL10L, CD4, LAMP3, RGS1, BCL7A, PBXIP1, SLC12A8, FZD2, MMP9, LEF1, RSAD2, HRH1, HLA-DQA1, PTPRG, SPAG4, AQP9, DUSP2, TCF7, VILL, GPC4, ST3GAL6, TRIB2, C1orf54, GSTT1, ADAMTS3, APOBEC3G, MAP9, SPOCK2, DACH1, IFI44L, FZD3, CCND2, CHI3L1, PNOC"
"TCGA.04.1525.01A.01R.0538.01",39,"CCR5, CXCL9, KIRREL, BIRC3, TRIB2, RPL10L, APOL3, IL4R, CYP27A1, SPAG4, MICAL3, ZFP36L2, GPR19, ST3GAL6, SKAP1, GPR1, REPS2, MAP4K1, C1orf54, PPFIBP1, SLC12A8, RGS1, RSAD2, PLEKHF1, ZNF165, SPOCK2, RCAN3, FZD2, MAK, FZD3, APOBEC3G, TCF7, VNN1, LAMP3, MYB, IFI44L, MAP9, CXCL10, CHI3L1"
"TCGA.04.1530.01A.02R.0502.01",37,"MAP9, C3AR1, ST3GAL6, SMPDL3B, STXBP6, PLA2G7, MS4A6A, PTPRG, SPOCK2, CD69, TCF7, HSPA6, IL4R, CCL5, FCGR2B, PPFIBP1, CCL20, TNFAIP6, CXCL13, GSTT1, MYB, NCF2, DUSP2, EGR2, SLC12A8, FOSB, RGS1, IL7R, APOBEC3G, IGKC, MMP12, C1orf54, FZD2, CXCL10, CHI3L1, HLA-DQA1, CXCL9"
"TCGA.04.1536.01A.01R.0538.01",32,"PIK3IP1, TREM2, SLC12A8, WNT5B, TCF7, BCL7A, MYB, VNN1, DACH1, KLRF1, PPFIBP1, APOL6, KIRREL, GSTT1, APOBEC3G, ZFP36L2, CCL20, HRH1, AQP9, APOL3, GPR19, BRAF, PLEKHF1, RGS1, C11orf80, CRISP3, HIST1H2AE, STXBP6, SPOCK2, MICAL3, PLA2G7, CHI3L1"
"TCGA.04.1542.01A.01R.0502.01",25,"CD40, TCF7, KIRREL, RPL10L, GPR19, IL4R, CD22, BRAF, PBXIP1, HRH1, MAP9, SLC12A8, PPFIBP1, FZD3, PNOC, BST1, SKAP1, FZD2, DACH1, PTPRG, SPOCK2, TRIB2, HIST1H2BG, HIST1H2AE, CHI3L1"
"TCGA.04.1638.01A.01R.0582.01",37,"GPR1, BMP2K, FZD3, NCF2, LTC4S, SKAP1, PASK, CD1A, DUSP2, AQP9, PLEKHF1, DACH1, RGS1, SPAG4, CYP27A1, CST7, GPC4, BANK1, WNT7A, RPL10L, PTGER2, SLC12A8, PPFIBP1, PTPRG, COL8A2, APOBEC3G, VNN1, MMP9, TCF7, MAGEA11, TRIB2, CCL20, HRH1, HLA-DQA1, BIRC3, SPOCK2, CHI3L1"
"TCGA.04.1646.01A.01R.0582.01",60,"PPFIBP1, IL4R, REPS2, IL1B, TRPM4, NFE2, GAL3ST4, CYP27A1, P2RY2, TCF7, LEF1, QPCT, ADAM28, APOL6, RSAD2, RPL10L, ZFP36L2, RYR1, HIST1H2AE, ZNF324, RGS1, KLRF1, SLC12A8, VILL, SMPDL3B, CD4, DUSP2, MS4A6A, ACP5, PIK3IP1, COL8A2, C1orf54, CA8, MAP4K1, WNT5B, RNASE6, CD22, PLEKHF1, PBXIP1, ADAMTS3, IFI44L, LAMP3, SPOCK2, PTPRG, FZD2, CDA, GSTT1, CXCL10, BST1, APOBEC3G, FZD3, ST3GAL6, DACH1, TRIB2, PNOC, GPC4, STXBP6, BPI, SPAG4, CHI3L1"
"TCGA.04.1648.01A.01R.0582.01",64,"FZD2, RNASE6, ACP5, CR2, LAMP3, ADAMDEC1, TLR2, CCL20, PPFIBP1, CYP27A1, CCR5, PIK3IP1, GAL3ST4, MAK, ZNF165, PNOC, CCL18, ICA1, HIST1H2AE, REPS2, LY86, GPC4, CLEC7A, CD22, TCF7, VILL, STXBP6, DACH1, PBXIP1, CXCL9, VNN2, LEF1, TRIB2, C1orf54, ST3GAL6, MYB, COL8A2, NCF2, BANK1, SELL, HLA-DOB, SLC12A8, SMPDL3B, ZFP36L2, DUSP2, CXCL10, PLEKHF1, SPAG4, CA8, PTPRG, IL4R, MAP9, GSTT1, MMP9, KLRF1, APOBEC3G, HAL, AQP9, ADAM28, FZD3, QPCT, CCND2, CRISP3, CHI3L1"
"TCGA.04.1649.01A.01R.0582.01",26,"RPL10L, HIST1H2AE, HIST1H2BG, GAL3ST4, TCF7, LTC4S, AQP9, PPFIBP1, PBXIP1, HAL, APOBEC3G, APOL6, PLA2G7, VILL, IFI44L, SPOCK2, CYP27A1, CRTAM, REPS2, SLC12A8, HRH1, PLEKHF1, GSTT1, MYB, CHI3L1, CRISP3"
"TCGA.04.1651.01A.01R.0582.01",29,"MMP9, PASK, CD22, MYB, GPR19, SLC15A3, BIRC3, TCF7, RSAD2, C1orf54, ATHL1, PPFIBP1, GPC4, PLEKHF1, APOL6, IL4R, APOBEC3G, GSTT1, CCL20, FZD3, CD69, CXCL10, LAMP3, IFI44L, FOSB, TRIB2, AIM2, STXBP6, CHI3L1"
"TCGA.04.1652.01A.01R.0582.01",22,"CD38, ZNF324, ZFP36L2, SLC12A8, MICAL3, RPL10L, IGHD, KIRREL, TRIB2, PPFIBP1, IGHM, TCF7, RGS1, PNOC, GSTT1, SPOCK2, HRH1, STXBP6, PLEKHF1, ATHL1, IGKC, CHI3L1"
"TCGA.04.1654.01A.02R.0653.01",29,"PBXIP1, C1orf54, REPS2, TCF7, FOSB, PTPRG, IFI44L, PIK3IP1, NCF2, LAMP3, FCGR2B, GPC4, PLEKHF1, HLA-DQA1, WNT7A, FZD2, SPAG4, APOBEC3G, RGS1, TRIB2, APOL6, IL4R, CXCL10, GSTT1, MMP9, DUSP2, CCL20, STXBP6, CHI3L1"
"TCGA.04.1655.01A.01R.0564.01",31,"MAP4K1, RPL10L, BACH2, GPR19, BCL7A, GPC4, QPCT, TCF7, PPFIBP1, DUSP2, DACH1, RYR1, VILL, APOBEC3G, SLC12A8, STXBP6, FZD3, SMPDL3B, PBXIP1, FZD2, EGR2, GSTT1, PTPRG, ATHL1, TSHR, CHI3L1, TRIB2, SPOCK2, CCND2, PNOC, FOSB"
"TCGA.09.0364.01A.02R.0362.01",34,"ZNF135, ZNF222, CDH12, ZNF324, CHI3L1, MANEA, RYR1, RRP9, RPL10L, CYP27A1, BRAF, PASK, GPR19, C1orf54, ZFP36L2, PTPRG, TCF7, CDC25A, HNMT, SLC12A8, ZNF165, GSTT1, CD69, KIRREL, BCL7A, PLA1A, TRIB2, FZD3, PPFIBP1, DPP4, FZD2, CCND2, SPOCK2, DACH1"
"TCGA.09.0365.01A.02R.0362.01",28,"CD3G, HIST1H2AE, CREB5, FRMD4A, VILL, ADAM28, QPCT, ADAMTS3, DUSP2, HIST1H2BG, TCF7, SKAP1, SPOCK2, MAP4K1, CD22, COL8A2, CYP27A1, FZD2, PBXIP1, TRIB2, PNOC, FZD3, GPC4, DACH1, CCND2, ATHL1, C1orf54, CHI3L1"
"TCGA.09.0366.01A.01R.0362.01",30,"ADAMDEC1, CCL13, SAMSN1, CCL20, VILL, ACP5, C1orf54, IL1B, SPAG4, AIF1, CCL18, NCF2, STXBP6, APOBEC3G, RSAD2, MMP9, HAL, C3AR1, VNN2, TRIB2, TREM2, LY86, IFI44L, CHI3L1, RGS1, HLA-DQA1, MS4A6A, FCGR2B, RNASE6, CXCL10"
"TCGA.09.0367.01A.01R.0362.01",37,"CCR7, LTC4S, NCF2, APOL6, ZFP36L2, HIST1H2BG, C11orf80, FCGR2B, C3AR1, AIF1, WNT7A, TCF7, RPL10L, SPAG4, BST1, AQP9, TRIB2, VNN1, BANK1, RNASE6, SKAP1, HIST1H2AE, MS4A6A, RSAD2, PLEKHF1, PTGER2, CXCL9, HPSE, SPOCK2, STXBP6, GSTT1, CCL20, GPC4, HLA-DQA1, PNOC, CXCL10, CHI3L1"
"TCGA.09.0369.01A.01R.0362.01",34,"MYB, CHI3L2, PPFIBP1, ZNF135, RPL10L, AIF1, CCL18, C3AR1, PBXIP1, TCF7, TRAF4, ZNF324, BCL7A, KIRREL, NCF2, FOSB, LEF1, SMPDL3B, HIST1H2BG, TNFAIP6, GPR19, SPOCK2, PNOC, DUSP2, MMP9, MS4A6A, HIST1H2AE, GSTT1, FZD3, C1orf54, CHI3L1, GPC4, FZD2, TRIB2"
"TCGA.09.1659.01B.01R.0538.01",23,"STXBP6, CXCL11, PLEKHF1, ADAM28, RPL10L, DACH1, HIST1H2BG, ATHL1, FZD3, PTPRG, RSAD2, HIST1H2AE, GSTT1, BIRC3, TRIB2, CCL20, APOBEC3G, RGS1, IFI44L, CHI3L1, CXCL10, PNOC, HLA-DQA1"
"TCGA.09.1661.01B.01R.0538.01",45,"P2RY2, PLEKHF1, KLRF1, RPL10L, PLA2G7, GPC4, SLC12A8, PNOC, PIK3IP1, WNT7A, GPR1, HNMT, IFI44L, STXBP6, C1orf54, REPS2, ZFP36L2, FZD3, FOSB, MAP9, HIST1H2AE, SMPDL3B, KIRREL, PLA1A, ST3GAL6, TCF7, HRH1, LEF1, PBXIP1, CYP27A1, LAMP3, BIRC3, SKAP1, GSTT1, PPFIBP1, SPOCK2, TRIB2, FZD2, COL8A2, PTPRG, DPP4, DACH1, LTB, CHI3L1, UGT2B17"
"TCGA.09.1662.01A.01R.0538.01",33,"ADAM28, SLC15A3, PTGER2, RPL10L, TCF7, LIME1, C3AR1, ST3GAL6, PTPRG, APOBEC3G, MS4A6A, SLC12A8, CHI3L1, APOL3, ACP5, QPCT, CXCL10, DACH1, HRH1, NCF2, BIRC3, FZD3, MMP9, ADAMDEC1, FCGR2B, PNOC, GSTT1, DPP4, SPOCK2, HLA-DQA1, TRIB2, CCL20, LTB"
"TCGA.09.1664.01A.01R.0582.01",31,"IL4R, C1orf54, CD19, CA8, VILL, PLEKHF1, ST3GAL6, CD22, NCF2, BCL7A, PTPRG, ATHL1, MMP9, MAK, PASK, RGS1, HRH1, FZD3, DACH1, CXCL10, TCF7, APOBEC3G, SPAG4, GSTT1, SKAP1, ADAM28, CCL20, TRIB2, MYB, CHI3L1, STXBP6"
"TCGA.09.1665.01B.01R.0538.01",23,"LEF1, TCF7, HPSE, LAMP3, HLA-DQA1, MAGEA11, MS4A6A, VILL, CCR7, MAP9, FZD3, SKAP1, RGS1, CCL22, CXCL11, IGKC, PPFIBP1, RSAD2, PTPRG, CHI3L1, STXBP6, IFI44L, CXCL10"
"TCGA.09.1666.01A.01R.0538.01",55,"ZFP36L2, CD40, CCR5, ACP5, HPSE, SKAP1, LY86, BCL2A1, AIF1, CXCL13, APOL6, STXBP6, CYP27A1, WNT5B, SAMSN1, MYB, C3AR1, HLA-DOB, TXK, ADAM28, COL8A2, RGS1, LEF1, TNFAIP6, C1orf54, BANK1, GAL3ST4, CCND2, TCF7, LTC4S, NCF2, CCR7, PPFIBP1, EBI3, APOL3, FZD3, RNASE6, SLC12A8, GSTT1, CCL19, CCL20, MS4A6A, FCGR2B, TRIB2, CHI3L1, CXCL11, GPC4, APOBEC3G, CXCL9, LAMP3, PNOC, AQP9, RSAD2, CXCL10, IFI44L"
"TCGA.09.1667.01C.01R.0538.01",57,"MARCO, AQP9, DUSP2, DACH1, ZFP36L2, CA8, GZMA, KYNU, CYP27B1, CD38, CD40, BST1, PNOC, APOL6, FZD2, TNFAIP6, ICA1, CCL4, C3AR1, SKAP1, PLA2G7, PPFIBP1, BCL2A1, C1orf54, SMPDL3B, SLC12A8, MAP9, TRIB2, CCR7, PTPRG, ST3GAL6, CXCL11, PIK3IP1, GNLY, EBI3, HPSE, NCF2, PLEKHF1, MS4A6A, LAMP3, RGS1, CXCL13, FCGR2B, CCL19, CCL20, FZD3, APOBEC3G, GSTT1, MMP12, RSAD2, CXCL9, IGKC, IFI44L, STXBP6, HLA-DQA1, CHI3L1, CXCL10"
"TCGA.09.1668.01B.01R.0538.01",43,"BCL2A1, HHEX, SAMSN1, ST3GAL6, C3AR1, SMPDL3B, PPFIBP1, SELL, SLC12A8, HLA-DOB, MAP9, CD69, APOL6, TRIB2, PTPRG, C1orf54, GPC4, FZD2, QPCT, ACP5, ZNF165, BIRC3, FZD3, ZFP36L2, DUSP2, NCF2, APOBEC3G, MS4A6A, STXBP6, IGKC, RSAD2, MMP12, CXCL11, CHI3L1, IFI44L, HLA-DQA1, LAMP3, RGS1, CXCL9, CCL20, PNOC, FOSB, CXCL10"
"TCGA.09.1669.01A.01R.0538.01",40,"IFI44L, GPR19, CD22, C3AR1, MANEA, LAMP3, SLC12A8, RPL10L, CCL18, TCF7, COL8A2, CD27, CXCL11, ADAMTS3, MS4A6A, BCL7A, NCF2, GSTT1, FCGR2B, BRAF, PTPRG, C1orf54, CD38, IGHM, SPOCK2, TRIB2, CXCL13, APOBEC3G, RGS1, FZD3, IGHD, DACH1, HLA-DQA1, STXBP6, CHI3L1, PNOC, MYB, CXCL9, CXCL10, IGKC"
"TCGA.09.1670.01A.01R.0564.01",41,"CCR5, RPL10L, MMP9, PPFIBP1, ZFP36L2, TCF7, NCF2, PNOC, SMPDL3B, LTC4S, SLC12A8, APOL6, SKAP1, REPS2, GAL3ST4, ST3GAL6, PLEKHF1, CLEC7A, GPC4, EMR1, PTPRG, C1orf54, IL1B, FCGR2B, C3AR1, TREM2, HPSE, LY86, RSAD2, LAMP3, AQP9, HLA-DQA1, SPOCK2, APOBEC3G, MS4A6A, RNASE6, CA8, RGS1, CXCL10, IFI44L, CHI3L1"
"TCGA.09.1672.01A.01R.0564.01",34,"HAL, NCF2, CXCL10, SLC12A8, DACH1, MAP9, C3AR1, TGM5, SKAP1, TCF7, PNOC, PBXIP1, PTPRG, WNT7A, STXBP6, APOL6, FCGR2B, LY86, C1orf54, ST3GAL6, HRH1, IL4R, RNASE6, PIK3IP1, MS4A6A, ADAM28, APOBEC3G, FZD3, SPOCK2, TRIB2, QPCT, VILL, GSTT1, CHI3L1"
"TCGA.09.1673.01A.01R.0564.01",42,"FZD3, PBXIP1, TRIB2, NCF2, SLC12A8, VILL, KIRREL, PPFIBP1, UGT2B17, MMP9, EPN2, FCGR2B, MAP9, RNASE6, DUSP2, LAMP3, LEF1, PLEKHF1, CYP27A1, HLA-DQA1, C1orf54, FZD2, PNOC, HPSE, LTC4S, TXK, MS4A6A, DSC1, CA8, AQP9, GSTT1, RSAD2, PTPRG, DACH1, CD22, CCND2, MAGEA11, CXCL10, RGS1, IFI44L, SPOCK2, CHI3L1"
"TCGA.09.1674.01A.01R.0564.01",55,"GAL3ST4, SPOCK2, TRAF4, AIM2, SKAP1, FOSB, EPN2, CYP27A1, BCL7A, MAP9, ICA1, CDC25A, SLC12A8, RYR1, PPFIBP1, MANEA, PASK, ST3GAL6, BACH2, MAP4K1, TCF7, EGR2, RCAN3, SPAG4, QPCT, SMPDL3B, C1orf54, CDH12, LEF1, CXCL10, CD22, GSTT1, IFI44L, CR2, CXorf57, ADAMTS3, HOXA1, KIRREL, MYB, DUSP2, MAGEA11, ZNF222, GPC4, DACH1, PTPRG, ZNF165, FZD3, TRIB2, DSC1, CA8, GPR19, FZD2, CCND2, STXBP6, PNOC"
